"suburb","built_up","year"
"Abbotsford",2083.04,1975
"Aberfeldie",1767.23,1975
"Acheron",2.76,1975
"Ada",0,1975
"Adams Estate",2.48,1975
"Aintree",1.89,1975
"Aireys Inlet",52.72,1975
"Airport West",2051.86,1975
"Albanvale",1739.35,1975
"Albert Park",1208.28,1975
"Albion",1478.2,1975
"Alexandra",38.39,1975
"Allambee",2.9,1975
"Almurta",5.66,1975
"Alphington",1314.36,1975
"Altona",797.87,1975
"Altona Meadows",906.81,1975
"Altona North",1110.28,1975
"Anakie",3.99,1975
"Anderson",6.99,1975
"Anglesea",44.57,1975
"Arawata",4.57,1975
"Archies Creek",51.68,1975
"Ardeer",1404.91,1975
"Armadale",2433.82,1975
"Armstrong Creek",2.61,1975
"Arthurs Creek",4.56,1975
"Arthurs Seat",8.45,1975
"Ascot Vale",1933.47,1975
"Ashbourne",4.05,1975
"Ashburton",1628.14,1975
"Ashwood",1599.08,1975
"Aspendale",1618.19,1975
"Aspendale Gardens",581.26,1975
"Athlone",5.65,1975
"Attwood",139.17,1975
"Avalon",9.31,1975
"Avondale Heights",1495.28,1975
"Avonsleigh",4.12,1975
"Bacchus Marsh",348.51,1975
"Badger Creek",31.76,1975
"Balaclava",2653.28,1975
"Ballan",9.6,1975
"Balliang",2.74,1975
"Balliang East",0.99,1975
"Balnarring",36.62,1975
"Balnarring Beach",220.1,1975
"Balwyn",1974.97,1975
"Balwyn North",1569.73,1975
"Bambra",4.06,1975
"Bamganie",2.72,1975
"Bangholme",36.16,1975
"Bannockburn",12.97,1975
"Barkstead",0.75,1975
"Barrabool",4.15,1975
"Barrys Reef",1.49,1975
"Barwon Heads",475.55,1975
"Basalt",1.89,1975
"Bass",4.18,1975
"Batesford",6.87,1975
"Baxter",119.31,1975
"Bayles",8.38,1975
"Baynton",2.12,1975
"Bayswater",1929.26,1975
"Bayswater North",1273.08,1975
"Beaconsfield",88.37,1975
"Beaconsfield Upper",6.89,1975
"Beaumaris",1792.04,1975
"Beenak",1.68,1975
"Belgrave",51.75,1975
"Belgrave Heights",10.09,1975
"Belgrave South",11.26,1975
"Bell Park",1646.68,1975
"Bell Post Hill",742.05,1975
"Bellarine",11.02,1975
"Bellbrae",7.42,1975
"Bellfield",1537.3,1975
"Bells Beach",7.47,1975
"Belmont",1591.3,1975
"Bena",6.69,1975
"Bend of Islands",5.36,1975
"Benloch",4.57,1975
"Bentleigh",2306.31,1975
"Bentleigh East",2149.97,1975
"Beremboke",5.23,1975
"Berwick",230.25,1975
"Beveridge",2.06,1975
"Big Hill",1.34,1975
"Big Pats Creek",1.93,1975
"Bittern",82.69,1975
"Black Rock",1370.58,1975
"Blackburn",1346.12,1975
"Blackburn North",1629.18,1975
"Blackburn South",1677.01,1975
"Blackwood",0.94,1975
"Blairgowrie",1391.76,1975
"Blakeville",0.27,1975
"Blampied",3.22,1975
"Blind Bight",113.29,1975
"Bolinda",3.83,1975
"Bolwarrah",1.89,1975
"Bona Vista",6.06,1975
"Bonbeach",1447.44,1975
"Boneo",14.51,1975
"Bonnie Brook",5.4,1975
"Boonah",0.77,1975
"Boronia",1117.21,1975
"Botanic Ridge",8.9,1975
"Box Hill",1831.44,1975
"Box Hill North",1864.68,1975
"Box Hill South",1585.12,1975
"Braeside",568.97,1975
"Brandy Creek",4.36,1975
"Bravington",13.22,1975
"Braybrook",1862.65,1975
"Breakwater",711.53,1975
"Breamlea",17.49,1975
"Briar Hill",1452.05,1975
"Brighton",2036.29,1975
"Brighton East",1934.66,1975
"Broadford",31.04,1975
"Broadmeadows",1132.85,1975
"Brookfield",79.72,1975
"Brooklyn",1424.2,1975
"Brunswick",2610.97,1975
"Brunswick East",2068.88,1975
"Brunswick West",2158.06,1975
"Buckley",2.28,1975
"Buffalo",4.17,1975
"Bulla",12.57,1975
"Bullarook",2.19,1975
"Bullarto",2.52,1975
"Bullarto South",2.9,1975
"Bulleen",1269.49,1975
"Bullengarook",3.94,1975
"Buln Buln",9.81,1975
"Buln Buln East",5.78,1975
"Bunding",4.46,1975
"Bundoora",624.78,1975
"Bungal",2.53,1975
"Bungaree",4.94,1975
"Bunyip",28.29,1975
"Bunyip North",6.31,1975
"Burnley",547.28,1975
"Burnside",39.87,1975
"Burnside Heights",27.28,1975
"Burwood",1533.74,1975
"Burwood East",1547.3,1975
"Buxton",3.08,1975
"Bylands",2.23,1975
"Cadello",3.72,1975
"Cairnlea",58.31,1975
"Calder Park",11.15,1975
"Caldermeade",4.39,1975
"Cambarville",0.01,1975
"Camberwell",1911.92,1975
"Campbellfield",1276.22,1975
"Campbelltown",1.39,1975
"Cannons Creek",32.33,1975
"Canterbury",1907.27,1975
"Cape Paterson",91.32,1975
"Cape Schanck",5.81,1975
"Cape Woolamai",502.68,1975
"Capel Sound",1216.62,1975
"Cardinia",9.42,1975
"Carlsruhe",5.81,1975
"Carlton",2455.16,1975
"Carlton North",1782.13,1975
"Carnegie",2283.1,1975
"Caroline Springs",0.06,1975
"Carrum",2152.35,1975
"Carrum Downs",408.4,1975
"Castella",2.76,1975
"Catani",5.4,1975
"Cathkin",1.7,1975
"Caulfield",2564.78,1975
"Caulfield East",956.71,1975
"Caulfield North",2357.96,1975
"Caulfield South",2336.21,1975
"Ceres",10.17,1975
"Chadstone",1648.75,1975
"Charlemont",17.01,1975
"Chelsea",2268.82,1975
"Chelsea Heights",1038.97,1975
"Cheltenham",1943.7,1975
"Cherokee",5.57,1975
