"x","y","year"
144.00208,-38.23542,"2000"
144.00875,-37.67875,"2030"
144.00875,-37.34542,"2030"
144.01208,-37.95875,"2030"
144.01542,-37.67875,"2000"
144.02542,-38.02542,"2020"
144.02542,-38.02208,"2020"
144.02542,-38.01875,"2020"
144.02542,-38.01542,"2020"
144.02875,-38.02542,"2015"
144.02875,-38.01875,"2025"
144.02875,-38.01542,"2020"
144.02875,-37.42875,"1985"
144.03208,-38.03208,"2010"
144.03208,-38.02542,"2010"
144.03542,-38.02542,"2010"
144.04208,-38.02875,"1995"
144.04208,-38.01542,"2020"
144.04542,-38.17875,"2015"
144.04542,-38.02875,"2000"
144.04542,-38.02542,"2000"
144.04875,-38.09542,"2020"
144.04875,-38.09208,"2015"
144.04875,-38.02542,"2020"
144.04875,-38.01542,"2020"
144.05208,-38.10208,"1990"
144.05208,-37.55542,"2020"
144.05542,-38.28208,"2010"
144.05542,-38.10542,"2010"
144.05542,-38.10208,"1975"
144.05542,-38.02875,"2005"
144.05875,-38.10542,"1980"
144.05875,-38.10208,"1980"
144.05875,-38.08208,"2030"
144.05875,-38.03208,"2015"
144.05875,-38.02542,"2025"
144.06208,-38.46875,"1980"
144.06208,-38.46542,"2030"
144.06208,-38.08875,"2015"
144.06208,-38.08542,"2020"
144.06542,-38.46542,"1985"
144.06542,-38.09208,"2025"
144.06542,-38.08875,"2020"
144.06542,-38.08542,"2020"
144.06875,-38.46542,"2020"
144.06875,-38.08542,"2020"
144.07208,-37.84542,"2000"
144.07208,-37.83875,"2020"
144.07542,-38.46542,"2000"
144.07542,-37.85208,"2025"
144.07542,-37.84875,"2020"
144.07542,-37.84542,"1985"
144.07542,-37.84208,"2000"
144.07875,-38.46542,"1990"
144.07875,-37.84875,"2020"
144.07875,-37.84542,"2020"
144.07875,-37.84208,"2010"
144.08208,-38.46875,"2020"
144.08208,-38.46542,"1975"
144.08208,-37.97542,"2015"
144.08542,-38.46875,"2020"
144.08542,-38.46542,"1975"
144.08542,-38.36875,"2020"
144.08542,-37.95542,"2000"
144.08875,-38.46542,"1975"
144.08875,-37.99208,"2015"
144.09208,-38.46542,"1985"
144.09208,-38.46208,"2015"
144.09208,-37.98542,"2015"
144.09208,-37.90208,"1975"
144.09875,-38.46542,"1975"
144.09875,-37.63542,"2020"
144.10208,-38.46542,"1985"
144.10208,-38.46208,"1975"
144.10208,-38.45542,"1995"
144.10208,-37.91875,"2020"
144.10208,-37.62542,"2020"
144.10208,-37.62208,"2020"
144.10208,-37.58542,"2020"
144.10208,-37.58208,"2015"
144.10542,-38.46542,"1980"
144.10542,-38.46208,"1975"
144.10542,-38.45875,"1975"
144.10542,-38.45542,"1975"
144.10542,-37.58542,"2015"
144.10542,-37.58208,"2005"
144.10875,-38.46208,"2005"
144.10875,-38.45875,"1975"
144.10875,-38.45542,"1985"
144.10875,-38.10875,"1980"
