"suburb","pop_total","area_km2","pop_density","year","key"
"Abbotsford",3103,1.86,1671.98,1975,"Abbotsford1975"
"Aberfeldie",3191,1.57,2037.27,1975,"Aberfeldie1975"
"Acheron",120,72.76,1.65,1975,"Acheron1975"
"Ada",0,61.37,0,1975,"Ada1975"
"Adams Estate",0,0.04,9.57,1975,"Adams Estate1975"
"Aintree",6,6.89,0.85,1975,"Aintree1975"
"Aireys Inlet",444,20.42,21.74,1975,"Aireys Inlet1975"
"Airport West",7093,3.85,1843.32,1975,"Airport West1975"
"Albanvale",5178,1.87,2773.34,1975,"Albanvale1975"
"Albert Park",3731,2.76,1349.65,1975,"Albert Park1975"
"Albion",2175,2.32,936.99,1975,"Albion1975"
"Alexandra",1977,78.93,25.04,1975,"Alexandra1975"
"Allambee",32,19.17,1.66,1975,"Allambee1975"
"Almurta",41,16.63,2.49,1975,"Almurta1975"
"Alphington",3208,2.61,1229.72,1975,"Alphington1975"
"Altona",10779,16.53,652.14,1975,"Altona1975"
"Altona Meadows",18692,10.92,1712.29,1975,"Altona Meadows1975"
"Altona North",11515,14.33,803.81,1975,"Altona North1975"
"Anakie",420,174.5,2.41,1975,"Anakie1975"
"Anderson",25,5.49,4.51,1975,"Anderson1975"
"Anglesea",1527,97.17,15.72,1975,"Anglesea1975"
"Arawata",102,22.25,4.57,1975,"Arawata1975"
"Archies Creek",22,1.28,17.09,1975,"Archies Creek1975"
"Ardeer",2056,1.99,1032.61,1975,"Ardeer1975"
"Armadale",7156,2.15,3324.64,1975,"Armadale1975"
"Armstrong Creek",77,18.83,4.11,1975,"Armstrong Creek1975"
"Arthurs Creek",431,35.49,12.15,1975,"Arthurs Creek1975"
"Arthurs Seat",226,8.69,25.98,1975,"Arthurs Seat1975"
"Ascot Vale",9606,3.78,2540.25,1975,"Ascot Vale1975"
"Ashbourne",122,39.47,3.09,1975,"Ashbourne1975"
"Ashburton",6478,2.93,2211.64,1975,"Ashburton1975"
"Ashwood",3959,2.35,1687.99,1975,"Ashwood1975"
"Aspendale",5285,3.25,1624.92,1975,"Aspendale1975"
"Aspendale Gardens",2724,3.19,854.47,1975,"Aspendale Gardens1975"
"Athlone",68,28.24,2.42,1975,"Athlone1975"
"Attwood",2848,5.2,547.95,1975,"Attwood1975"
"Avalon",107,46.04,2.33,1975,"Avalon1975"
"Avondale Heights",12696,5.37,2365.94,1975,"Avondale Heights1975"
"Avonsleigh",358,7.33,48.83,1975,"Avonsleigh1975"
"Bacchus Marsh",1636,12.14,134.78,1975,"Bacchus Marsh1975"
"Badger Creek",1439,10.98,131.08,1975,"Badger Creek1975"
"Balaclava",3440,0.76,4499.99,1975,"Balaclava1975"
"Ballan",1799,146.87,12.25,1975,"Ballan1975"
"Balliang",219,184.25,1.19,1975,"Balliang1975"
"Balliang East",34,44.77,0.75,1975,"Balliang East1975"
"Balnarring",1135,26.19,43.33,1975,"Balnarring1975"
"Balnarring Beach",244,1.75,138.94,1975,"Balnarring Beach1975"
"Balwyn",11552,4.29,2694.97,1975,"Balwyn1975"
"Balwyn North",19335,9.32,2075.37,1975,"Balwyn North1975"
