"density_bin","count","year","proportion"
"0-50",21014,1975,0.0974607518029822
"50-500",41879,1975,0.194230457064675
"500-2000",58243,1975,0.270124991303945
"2000-4000",75757,1975,0.351353106231014
"4000-10000",18051,1975,0.0837186652134592
"10000+",671,1975,0.00311202838392505
"0-50",25376,1980,0.111102354620362
"50-500",45693,1980,0.200055165891717
"500-2000",59161,1980,0.259021374593918
"2000-4000",78281,1980,0.342733426152135
"4000-10000",19304,1980,0.0845176487071041
"10000+",587,1980,0.00257003003476327
"0-50",28505,1985,0.118638847615361
"50-500",48732,1985,0.202824357901834
"500-2000",60532,1985,0.251936387435645
"2000-4000",80954,1985,0.336933494820346
"4000-10000",20987,1985,0.0873486579513624
"10000+",557,1985,0.00231825427545189
"0-50",30318,1990,0.121414783785732
"50-500",51085,1990,0.204580586770042
"500-2000",60100,1990,0.240683043258872
"2000-4000",83204,1990,0.333207852434463
"4000-10000",24355,1990,0.0975347008081504
"10000+",644,1990,0.00257903294274066
"0-50",32532,1995,0.124541086844171
"50-500",54079,1995,0.207028692839232
"500-2000",61122,1995,0.23399115670999
"2000-4000",87052,1995,0.333258044139885
"4000-10000",25995,1995,0.0995157245946825
"10000+",435,1995,0.00166529487204027
"0-50",32690,2000,0.122080560472637
"50-500",56888,2000,0.212447810467036
"500-2000",61966,2000,0.231411563482638
"2000-4000",89849,2000,0.335540418412542
"4000-10000",25874,2000,0.0966262594576023
"10000+",507,2000,0.00189338770754442
"0-50",33846,2005,0.120659660330543
"50-500",59410,2005,0.211794316026637
"500-2000",64991,2005,0.231690361772213
"2000-4000",92456,2005,0.329602007785874
"4000-10000",29156,2005,0.10393999458126
"10000+",649,2005,0.00231365950347227
"0-50",34508,2010,0.119973160055766
"50-500",57533,2010,0.200023641401657
"500-2000",62686,2010,0.217938956510251
"2000-4000",95178,2010,0.330903136310064
"4000-10000",36730,2010,0.127698335714857
"10000+",996,2010,0.00346277000740532
"0-50",38530,2015,0.128945677491901
"50-500",59898,2015,0.200456480415518
"500-2000",58694,2015,0.196427137158309
"2000-4000",90516,2015,0.302923616502905
"4000-10000",49194,2015,0.164634146341463
"10000+",1976,2015,0.00661294208990388
"0-50",39394,2020,0.128170590455368
"50-500",63583,2020,0.206870859849816
"500-2000",56591,2020,0.184121995340908
"2000-4000",84906,2020,0.27624643735603
"4000-10000",58070,2020,0.18893400486732
"10000+",4812,2020,0.0156561121305587
"0-50",40899,2025,0.130262793297513
"50-500",66779,2025,0.212690263175496
"500-2000",56504,2025,0.1799645192421
"2000-4000",82351,2025,0.262286884541027
"4000-10000",60268,2025,0.191952811228991
"10000+",7172,2025,0.0228427285148723
"0-50",43249,2030,0.134813143104733
"50-500",70205,2030,0.218838741049915
"500-2000",57524,2030,0.179310301832566
"2000-4000",81749,2030,0.254822993263863
"4000-10000",58555,2030,0.182524072105659
"10000+",9525,2030,0.0296907486432653
