"suburb","pop_1975","pop_2025","nominal_growth","pct_growth","region_type"
"Docklands",30,33770,33740,112466.666666667,"Urban"
"Cairnlea",65,27779,27714,42636.9230769231,"Outer Suburban"
"Truganina",103,40523,40420,39242.7184466019,"Outer Suburban"
"Point Cook",497,145088,144591,29092.7565392354,"Outer Suburban"
"Tarneit",375,97875,97500,26000,"Outer Suburban"
"Lyndhurst",69,16118,16049,23259.4202898551,"Outer Suburban"
"Taylors Hill",340,64861,64521,18976.7647058824,"Outer Suburban"
"Cranbourne East",140,22665,22525,16089.2857142857,"Outer Suburban"
"Caroline Springs",464,74331,73867,15919.6120689655,"Outer Suburban"
"Lynbrook",172,22279,22107,12852.9069767442,"Outer Suburban"
"Mernda",246,15838,15592,6338.21138211382,"Outer Suburban"
"Burnside Heights",259,16099,15840,6115.83011583012,"Outer Suburban"
"South Morang",915,50605,49690,5430.60109289618,"Outer Suburban"
"Doreen",808,26933,26125,3233.29207920792,"Outer Suburban"
"Southbank",1171,28628,27457,2344.74807856533,"Urban"
"Wyndham Vale",1327,29701,28374,2138.20648078372,"Outer Suburban"
"Pakenham",3837,74392,70555,1838.80635913474,"Outer Suburban"
"Cranbourne West",1080,19408,18328,1697.03703703704,"Outer Suburban"
"Narre Warren South",4147,61920,57773,1393.12756209308,"Outer Suburban"
"Hillside",2580,38063,35483,1375.31007751938,"Outer Suburban"
"Melton West",1419,20232,18813,1325.79281183932,"Regional"
"Melbourne",6165,63437,57272,928.986212489862,"Urban"
"Carlton",2814,27985,25171,894.491826581379,"Urban"
"Melton South",1977,17559,15582,788.163884673748,"Regional"
"Melton",1935,16151,14216,734.677002583979,"Regional"
"North Melbourne",2724,22440,19716,723.788546255507,"Urban"
"Kurunjang",2387,19579,17192,720.234604105572,"Regional"
"Craigieburn",6858,55114,48256,703.645377661126,"Outer Suburban"
"Cranbourne North",3577,28388,24811,693.625943528096,"Outer Suburban"
"Darley",1996,15025,13029,652.755511022044,"Regional"
"Roxburgh Park",4250,31388,27138,638.541176470588,"Outer Suburban"
"Kensington",2551,18239,15688,614.974519796158,"Urban"
"Cranbourne",5059,36146,31087,614.489029452461,"Outer Suburban"
"Werribee",12411,73932,61521,495.697365240512,"Outer Suburban"
"Hampton Park",8133,43747,35614,437.894995696545,"Outer Suburban"
"Hoppers Crossing",14626,71533,56907,389.081088472583,"Outer Suburban"
"Berwick",16078,66802,50724,315.487000870755,"Outer Suburban"
"Epping",9947,41216,31269,314.356087262491,"Outer Suburban"
"Deer Park",6077,22776,16699,274.790192529208,"Outer Suburban"
"Mount Martha",6774,21623,14849,219.205786832005,"Regional"
"Greenvale",5652,17213,11561,204.547062986553,"Outer Suburban"
"Port Melbourne",6466,19562,13096,202.536343952985,"Urban"
"Ocean Grove",6000,16520,10520,175.333333333333,"Regional"
"Grovedale",7521,18301,10780,143.332003722909,"Regional"
"Sunbury",18948,45145,26197,138.257335866582,"Regional"
"Mornington",11464,27219,15755,137.430216329379,"Regional"
"Carrum Downs",11655,26605,14950,128.271128271128,"Outer Suburban"
"Bundoora",16024,35992,19968,124.613080379431,"Inner Suburban"
"South Yarra",11108,24752,13644,122.830392509903,"Urban"
"Footscray",7943,17615,9672,121.76759410802,"Inner Suburban"
"Highton",9358,20523,11165,119.309681555888,"Regional"
"St Kilda",10803,23641,12838,118.837359992595,"Urban"
"Mill Park",20386,41444,21058,103.296379868537,"Outer Suburban"
"Elwood",9533,19236,9703,101.783279135634,"Urban"
"Yarraville",8952,17918,8966,100.156389633601,"Inner Suburban"
"Warragul",8881,17618,8737,98.3785609728634,"Regional"
"Clayton",9256,18155,8899,96.1430423509075,"Inner Suburban"
"Lalor",13859,27056,13197,95.2233205859009,"Outer Suburban"
"Langwarrin",13739,26238,12499,90.9745978601063,"Outer Suburban"
"Lara",9323,17541,8218,88.1475919768315,"Regional"
"Thomastown",14845,27599,12754,85.9144493095318,"Outer Suburban"
"Narre Warren",17777,32083,14306,80.4747707712212,"Outer Suburban"
"Mount Eliza",11286,19993,8707,77.1486797802587,"Regional"
"Brunswick",14995,26219,11224,74.8516172057352,"Urban"
"Meadow Heights",11061,18959,7898,71.404032185155,"Inner Suburban"
"St Kilda East",9168,15702,6534,71.2696335078534,"Urban"
"Coburg",17302,29519,12217,70.610334065426,"Urban"
"Keysborough",13637,22943,9306,68.2408154286133,"Outer Suburban"
"Richmond",17178,28834,11656,67.8542321574106,"Urban"
"Glenroy",14307,23710,9403,65.7230726217935,"Inner Suburban"
"Dandenong",17681,29011,11330,64.0800859679882,"Outer Suburban"
"Brunswick West",9960,16288,6328,63.5341365461847,"Urban"
"Carnegie",11976,19009,7033,58.7257849031396,"Inner Suburban"
"Bentleigh",11578,18105,6527,56.3741578856452,"Inner Suburban"
"Pascoe Vale",10503,16237,5734,54.5939255450824,"Inner Suburban"
"Preston",23197,35721,12524,53.989740052593,"Inner Suburban"
"Taylors Lakes",12299,18683,6384,51.9066590779738,"Outer Suburban"
"Burwood",10982,16624,5642,51.3749772354762,"Inner Suburban"
"Northcote",18065,27111,9046,50.0747301411569,"Inner Suburban"
"Bentleigh East",19914,29410,9496,47.6850456964949,"Inner Suburban"
"Endeavour Hills",20260,29905,9645,47.6061204343534,"Outer Suburban"
"Moonee Ponds",10355,15235,4880,47.1269917914051,"Inner Suburban"
"Caulfield North",11846,17160,5314,44.8590241431707,"Urban"
